Initializing the music classifier...
Loading training and test data...


Loading audio files: 100%|██████████| 1079/1079 [00:23<00:00, 45.99it/s]
Extracting features:   0%|          | 0/1079 [00:00<?, ?it/s]








Extracting features:  90%|████████▉ | 967/1079 [00:16<00:01, 68.99it/s]
Extracting features: 100%|██████████| 1079/1079 [00:18<00:00, 59.31it/s]

Loading audio files:  39%|███▉      | 47/119 [00:18<00:13,  5.38it/s]
Loading audio files: 100%|██████████| 119/119 [00:18<00:00,  6.28it/s]
Extracting features:  78%|███████▊  | 93/119 [00:01<00:00, 53.59it/s]
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34463122311760397
Epoch 1, Batch 3,	Train Loss: 0.344698288861443
Epoch 1, Batch 4,	Train Loss: 0.3446086154264562
Epoch 1, Batch 5,	Train Loss: 0.34487196978400736
Epoch 1, Batch 6,	Train Loss: 0.34466833226821003
Epoch 1, Batch 7,	Train Loss: 0.3448217896854176
Epoch 1, Batch 8,	Train Loss: 0.3446505770963781
Epoch 1, Batch 9,	Train Loss: 0.34473172356100645
Epoch 1, Batch 10,	Train Loss: 0.3446800288032083
Epoch 1, Batch 11,	Train Loss: 0.3446347573224236
Epoch 1, Batch 12,	Train Loss: 0.3446718103745404
Epoch 1, Batch 13,	Train Loss: 0.34471363179823933
Epoch 1, Batch 14,	Train Loss: 0.3447275722728056
Epoch 1, Batch 15,	Train Loss: 0.34466979082892923
Epoch 1, Batch 16,	Train Loss: 0.34460726906271544
Epoch 1, Batch 17,	Train Loss: 0.3447414005503935
Epoch 1, Batch 18,	Train Loss: 0.34461503870346966
Epoch 1, Batch 19,	Train Loss: 0.34472499174230237
Epoch 1, Batch 20,	Train Loss: 0.3447886354783002
Epoch 1, Batch 21,	Train Loss: 0.3446561027975643
Epoch 1, Batch 22,	Train Loss: 0.34465206370634194
Epoch 1, Batch 23,	Train Loss: 0.3446543917936437
Epoch 1, Batch 24,	Train Loss: 0.3446021360509536
Epoch 1, Batch 25,	Train Loss: 0.34462611815508676
Epoch 1, Batch 26,	Train Loss: 0.34472039166618795
Epoch 1, Batch 27,	Train Loss: 0.34470168282003966
Epoch 1, Batch 28,	Train Loss: 0.3446776165681727
Epoch 1, Batch 29,	Train Loss: 0.3447232246398926
Epoch 1, Batch 30,	Train Loss: 0.34464457455803366
Epoch 1, Batch 31,	Train Loss: 0.3446500722099753
Epoch 1, Batch 32,	Train Loss: 0.34464524773990407
Epoch 1, Batch 33,	Train Loss: 0.3446976437288172
Epoch 1, Batch 34,	Train Loss: 0.2477280392366297
Epoch 1 Train Loss: 11.622299446779138
Epoch 1 Test Accuracy: 0.33613445378151263
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.3446485856000115
Epoch 2, Batch 2,	Train Loss: 0.3446648822111242
Epoch 2, Batch 3,	Train Loss: 0.34462468764361215
Epoch 2, Batch 4,	Train Loss: 0.3446196387795841
Epoch 2, Batch 5,	Train Loss: 0.3446248278898351
Epoch 2, Batch 6,	Train Loss: 0.34454042771283316
Epoch 2, Batch 7,	Train Loss: 0.34485211091883045
Epoch 2, Batch 8,	Train Loss: 0.34462614620433135
Epoch 2, Batch 9,	Train Loss: 0.3445414374856388
Epoch 2, Batch 10,	Train Loss: 0.3445943103117101
Epoch 2, Batch 11,	Train Loss: 0.34455156326293945
Epoch 2, Batch 12,	Train Loss: 0.34447546566233916
Epoch 2, Batch 13,	Train Loss: 0.34472070020787854
Epoch 2, Batch 14,	Train Loss: 0.34469203387989716
Epoch 2, Batch 15,	Train Loss: 0.34468726550831513
Epoch 2, Batch 16,	Train Loss: 0.3447965734145221
Epoch 2, Batch 17,	Train Loss: 0.3446277450112736
Epoch 2, Batch 18,	Train Loss: 0.3446808141820571
Epoch 2, Batch 19,	Train Loss: 0.344666509067311
Epoch 2, Batch 20,	Train Loss: 0.3448001917670755
Epoch 2, Batch 21,	Train Loss: 0.34476709365844727
Epoch 2, Batch 22,	Train Loss: 0.34470569386201744
