Initializing the music classifier...
Loading training and test data...


Loading audio files: 100%|██████████| 1079/1079 [00:31<00:00, 33.83it/s]
Extracting features:   0%|          | 0/1079 [00:00<?, ?it/s]











Extracting features: 100%|██████████| 1079/1079 [00:24<00:00, 43.31it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]

Loading audio files:   1%|          | 1/119 [00:27<53:59, 27.46s/it]
Loading audio files: 100%|██████████| 119/119 [00:28<00:00,  4.17it/s]
Extracting features:  28%|██▊       | 33/119 [00:00<00:02, 42.32it/s]

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 45.25it/s]
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.3452255024629481
Epoch 1, Batch 3,	Train Loss: 0.3446647139156566
Epoch 1, Batch 4,	Train Loss: 0.34467161402982827
Epoch 1, Batch 5,	Train Loss: 0.34471744649550495
Epoch 1, Batch 6,	Train Loss: 0.3443157813128303
Epoch 1, Batch 7,	Train Loss: 0.34534936792710247
Epoch 1, Batch 8,	Train Loss: 0.3446236498215619
Epoch 1, Batch 9,	Train Loss: 0.34328732771031994
Epoch 1, Batch 10,	Train Loss: 0.3429367121528177
Epoch 1, Batch 11,	Train Loss: 0.34434038050034466
Epoch 1, Batch 12,	Train Loss: 0.3440803920521456
Epoch 1, Batch 13,	Train Loss: 0.3460187351002413
Epoch 1, Batch 14,	Train Loss: 0.3436158404630773
Epoch 1, Batch 15,	Train Loss: 0.3440886104808134
Epoch 1, Batch 16,	Train Loss: 0.34589523427626667
Epoch 1, Batch 17,	Train Loss: 0.34572620952830596
Epoch 1, Batch 18,	Train Loss: 0.3452438747181612
Epoch 1, Batch 19,	Train Loss: 0.3446773360757267
Epoch 1, Batch 20,	Train Loss: 0.3445725440979004
Epoch 1, Batch 21,	Train Loss: 0.3450959149528952
Epoch 1, Batch 22,	Train Loss: 0.34442680022295785
Epoch 1, Batch 23,	Train Loss: 0.3437209690318388
Epoch 1, Batch 24,	Train Loss: 0.3453463666579303
Epoch 1, Batch 25,	Train Loss: 0.3450783841750201
Epoch 1, Batch 26,	Train Loss: 0.3452931291916791
Epoch 1, Batch 27,	Train Loss: 0.34447336196899414
Epoch 1, Batch 28,	Train Loss: 0.3442078758688534
Epoch 1, Batch 29,	Train Loss: 0.3439627254710478
Epoch 1, Batch 30,	Train Loss: 0.3451652246363023
Epoch 1, Batch 31,	Train Loss: 0.34413808934828816
Epoch 1, Batch 32,	Train Loss: 0.3452480540556066
Epoch 1, Batch 33,	Train Loss: 0.3438015825608197
Epoch 1, Batch 34,	Train Loss: 0.24765836491304286
Epoch 1 Train Loss: 11.620330810546875
Epoch 1 Test Accuracy: 0.33613445378151263
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.3465423583984375
Epoch 2, Batch 2,	Train Loss: 0.3446270157309139
Epoch 2, Batch 3,	Train Loss: 0.3442236956428079
Epoch 2, Batch 4,	Train Loss: 0.3445744233972886
Epoch 2, Batch 5,	Train Loss: 0.34523739534265857
Epoch 2, Batch 6,	Train Loss: 0.34429558585671816
Epoch 2, Batch 7,	Train Loss: 0.3448326727923225
Epoch 2, Batch 8,	Train Loss: 0.3441024387584013
Epoch 2, Batch 9,	Train Loss: 0.34403040829826803
Epoch 2, Batch 10,	Train Loss: 0.3446320926441866
Epoch 2, Batch 11,	Train Loss: 0.34531983207253847
Epoch 2, Batch 12,	Train Loss: 0.3449765373678768
Epoch 2, Batch 13,	Train Loss: 0.3443296095904182
Epoch 2, Batch 14,	Train Loss: 0.3449215608484605
Epoch 2, Batch 15,	Train Loss: 0.3450205466326545
Epoch 2, Batch 16,	Train Loss: 0.3439633145051844
Epoch 2, Batch 17,	Train Loss: 0.34439897537231445
Epoch 2, Batch 18,	Train Loss: 0.3448133188135484
Epoch 2, Batch 19,	Train Loss: 0.34421337352079506
Epoch 2, Batch 20,	Train Loss: 0.34468426423914295
Epoch 2, Batch 21,	Train Loss: 0.3442988395690918
Epoch 2, Batch 22,	Train Loss: 0.3451258995953728
Epoch 2, Batch 23,	Train Loss: 0.34351452659158144
Epoch 2, Batch 24,	Train Loss: 0.3455384198357077
Epoch 2, Batch 25,	Train Loss: 0.344996171839097
Epoch 2, Batch 26,	Train Loss: 0.34490475935094494
Epoch 2, Batch 27,	Train Loss: 0.34383852341595816
Epoch 2, Batch 28,	Train Loss: 0.34458056618185606
Epoch 2, Batch 29,	Train Loss: 0.34516096115112305
Epoch 2, Batch 30,	Train Loss: 0.34418120103723865
Epoch 2, Batch 31,	Train Loss: 0.3447282174054314
Epoch 2, Batch 32,	Train Loss: 0.3445507217856014
Epoch 2, Batch 33,	Train Loss: 0.3443744603325339
Epoch 2, Batch 34,	Train Loss: 0.248172451468075
Epoch 2 Train Loss: 11.62170513938455
Epoch 2 Test Accuracy: 0.33613445378151263
Starting epoch number 2
Epoch 3, Batch 1,	Train Loss: 0.3449675896588494
Epoch 3, Batch 2,	Train Loss: 0.34437058953677907
Epoch 3, Batch 3,	Train Loss: 0.3444155524758732
Epoch 3, Batch 4,	Train Loss: 0.34449229520909924
Epoch 3, Batch 5,	Train Loss: 0.3442755586960736
Epoch 3, Batch 6,	Train Loss: 0.3436073134927189
Epoch 3, Batch 7,	Train Loss: 0.3448661355411305
Epoch 3, Batch 8,	Train Loss: 0.34471747454474955
Epoch 3, Batch 9,	Train Loss: 0.34428442225736733
Epoch 3, Batch 10,	Train Loss: 0.3452903242672191
