Initializing the music classifier...
Loading training and test data...



Loading audio files: 100%|██████████| 1079/1079 [00:32<00:00, 33.29it/s]
Extracting features:   0%|          | 0/1079 [00:00<?, ?it/s]











Extracting features: 100%|██████████| 1079/1079 [00:23<00:00, 45.18it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]

Loading audio files: 100%|██████████| 119/119 [00:24<00:00,  4.86it/s]
Extracting features:  66%|██████▌   | 78/119 [00:01<00:00, 50.62it/s]
Extracting features...
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34432130701401653
Epoch 1, Batch 3,	Train Loss: 0.3453441788168514
Epoch 1, Batch 4,	Train Loss: 0.34474745918722716
Epoch 1, Batch 5,	Train Loss: 0.344695063198314
Epoch 1, Batch 6,	Train Loss: 0.3450001828810748
Epoch 1, Batch 7,	Train Loss: 0.34483570211073933
Epoch 1, Batch 8,	Train Loss: 0.3447234209846048
Epoch 1, Batch 9,	Train Loss: 0.3445915895349839
Epoch 1, Batch 10,	Train Loss: 0.3449975462520824
Epoch 1, Batch 11,	Train Loss: 0.3446951192968032
Epoch 1, Batch 12,	Train Loss: 0.3445305543787339
Epoch 1, Batch 13,	Train Loss: 0.3446805617388557
Epoch 1, Batch 14,	Train Loss: 0.34446121664608226
Epoch 1, Batch 15,	Train Loss: 0.3443325547611012
Epoch 1, Batch 16,	Train Loss: 0.345093755161061
Epoch 1, Batch 17,	Train Loss: 0.3445419704212862
Epoch 1, Batch 18,	Train Loss: 0.344271042767693
Epoch 1, Batch 19,	Train Loss: 0.34473752975463867
Epoch 1, Batch 20,	Train Loss: 0.3447137720444623
Epoch 1, Batch 21,	Train Loss: 0.34438391292796416
Epoch 1, Batch 22,	Train Loss: 0.34450452467974496
Epoch 1, Batch 23,	Train Loss: 0.344638375674977
Epoch 1, Batch 24,	Train Loss: 0.34425076316384706
Epoch 1, Batch 25,	Train Loss: 0.3445303299847771
Epoch 1, Batch 26,	Train Loss: 0.34463296217076916
Epoch 1, Batch 27,	Train Loss: 0.34493129393633676
Epoch 1, Batch 28,	Train Loss: 0.34502671746646657
Epoch 1, Batch 29,	Train Loss: 0.34502307106466856
Epoch 1, Batch 30,	Train Loss: 0.34496427984798655
Epoch 1, Batch 31,	Train Loss: 0.3446186290067785
Epoch 1, Batch 32,	Train Loss: 0.34450634788064394
Epoch 1, Batch 33,	Train Loss: 0.34453481786391316
Epoch 1, Batch 34,	Train Loss: 0.24745910307940314
Epoch 1 Train Loss: 11.621982350068933
Epoch 1 Test Accuracy: 0.33613445378151263
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.34421247594496784
Epoch 2, Batch 2,	Train Loss: 0.3446336353526396
Epoch 2, Batch 3,	Train Loss: 0.344273146461038
Epoch 2, Batch 4,	Train Loss: 0.3448217896854176
Epoch 2, Batch 5,	Train Loss: 0.3442905930911793
Epoch 2, Batch 6,	Train Loss: 0.34494341121000405
Epoch 2, Batch 7,	Train Loss: 0.3443484586827895
Epoch 2, Batch 8,	Train Loss: 0.34404976227704215
Epoch 2, Batch 9,	Train Loss: 0.344752031214097
Epoch 2, Batch 10,	Train Loss: 0.344234354355756
Epoch 2, Batch 11,	Train Loss: 0.34432242898380055
Epoch 2, Batch 12,	Train Loss: 0.34558523402494545
Epoch 2, Batch 13,	Train Loss: 0.3440818506128648
Epoch 2, Batch 14,	Train Loss: 0.34376035017125744
Epoch 2, Batch 15,	Train Loss: 0.3447587349835564
Epoch 2, Batch 16,	Train Loss: 0.3438931352951947
Epoch 2, Batch 17,	Train Loss: 0.34470008401309743
Epoch 2, Batch 18,	Train Loss: 0.34495869804831114
Epoch 2, Batch 19,	Train Loss: 0.3447313589208266
Epoch 2, Batch 20,	Train Loss: 0.344820499420166
Epoch 2, Batch 21,	Train Loss: 0.3447217660791734
Epoch 2, Batch 22,	Train Loss: 0.3445856711443733
Epoch 2, Batch 23,	Train Loss: 0.34469814861522
Epoch 2, Batch 24,	Train Loss: 0.3442521095275879
Epoch 2, Batch 25,	Train Loss: 0.34478992574355183
Epoch 2, Batch 26,	Train Loss: 0.3444252014160156
Epoch 2, Batch 27,	Train Loss: 0.3446933241451488
Epoch 2, Batch 28,	Train Loss: 0.34439647898954506
Epoch 2, Batch 29,	Train Loss: 0.3443032152512494
Epoch 2, Batch 30,	Train Loss: 0.3446967181037454
Epoch 2, Batch 31,	Train Loss: 0.34443891749662514
Epoch 2, Batch 32,	Train Loss: 0.3445088162141688
Epoch 2, Batch 33,	Train Loss: 0.3443896630231072
Epoch 2, Batch 34,	Train Loss: 0.24761786180384018
Epoch 2 Train Loss: 11.616689850302304
Epoch 2 Test Accuracy: 0.33613445378151263
Starting epoch number 2
Epoch 3, Batch 1,	Train Loss: 0.34439297283397
Epoch 3, Batch 2,	Train Loss: 0.3444075023426729
Epoch 3, Batch 3,	Train Loss: 0.34452037250294404
Epoch 3, Batch 4,	Train Loss: 0.34446368497960705
Epoch 3, Batch 5,	Train Loss: 0.34426475973690257
Epoch 3, Batch 6,	Train Loss: 0.3443456537583295
Epoch 3, Batch 7,	Train Loss: 0.3446684444651884
Epoch 3, Batch 8,	Train Loss: 0.34431996065027576
Epoch 3, Batch 9,	Train Loss: 0.34451720293830423
Epoch 3, Batch 10,	Train Loss: 0.34435634052052216
Epoch 3, Batch 11,	Train Loss: 0.3446359353906968
Epoch 3, Batch 12,	Train Loss: 0.3444851146024816
Epoch 3, Batch 13,	Train Loss: 0.34444935181561637
Epoch 3, Batch 14,	Train Loss: 0.34456570008221793
Epoch 3, Batch 15,	Train Loss: 0.3442369068370146
Epoch 3, Batch 16,	Train Loss: 0.3444412175346823
Epoch 3, Batch 17,	Train Loss: 0.34433648165534525
Epoch 3, Batch 18,	Train Loss: 0.34425870110006895
Epoch 3, Batch 19,	Train Loss: 0.3441663349376005
Epoch 3, Batch 20,	Train Loss: 0.344359369838939
Epoch 3, Batch 21,	Train Loss: 0.3446066519793342
Epoch 3, Batch 22,	Train Loss: 0.3444698277641745

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 55.32it/s]
Epoch 3, Batch 24,	Train Loss: 0.34447672787834616
Epoch 3, Batch 25,	Train Loss: 0.3443075348349178
Epoch 3, Batch 26,	Train Loss: 0.3444373186896829
Epoch 3, Batch 27,	Train Loss: 0.34434837453505573
Epoch 3, Batch 28,	Train Loss: 0.3443307035109576
Epoch 3, Batch 29,	Train Loss: 0.34436750411987305
Epoch 3, Batch 30,	Train Loss: 0.3444168146918802
Epoch 3, Batch 31,	Train Loss: 0.3444682009079877
Epoch 3, Batch 32,	Train Loss: 0.3443122190587661
Epoch 3, Batch 33,	Train Loss: 0.34442954904892864
Epoch 3, Batch 34,	Train Loss: 0.24745486764346852
Epoch 3 Train Loss: 11.612817091100355
Epoch 3 Test Accuracy: 0.6890756302521008
Starting epoch number 3
Epoch 4, Batch 1,	Train Loss: 0.3441579201642205
Epoch 4, Batch 2,	Train Loss: 0.3444985501906451
Epoch 4, Batch 3,	Train Loss: 0.34433530358707204
Epoch 4, Batch 4,	Train Loss: 0.3442347189959358
Epoch 4, Batch 5,	Train Loss: 0.3446226680980009
Epoch 4, Batch 6,	Train Loss: 0.34434080123901367
Epoch 4, Batch 7,	Train Loss: 0.34417424482457776
Epoch 4, Batch 8,	Train Loss: 0.3440745017107795
Epoch 4, Batch 9,	Train Loss: 0.3441618470584645
Epoch 4, Batch 10,	Train Loss: 0.3443518526413861
Epoch 4, Batch 11,	Train Loss: 0.34427466112024646
Epoch 4, Batch 12,	Train Loss: 0.3440679381875431
Epoch 4, Batch 13,	Train Loss: 0.34398749295402975
Epoch 4, Batch 14,	Train Loss: 0.3445887004627901
Epoch 4, Batch 15,	Train Loss: 0.3439932430491728
Epoch 4, Batch 16,	Train Loss: 0.34443148444680605
