Initializing the music classifier...
Loading training and test data...


Loading audio files:  64%|██████▍   | 694/1079 [00:18<00:01, 331.72it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:19<00:00, 56.08it/s]







Extracting features:  90%|████████▉ | 968/1079 [00:15<00:01, 74.44it/s]
Extracting features: 100%|██████████| 1079/1079 [00:16<00:00, 65.07it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]
Loading audio files: 100%|██████████| 119/119 [00:17<00:00,  6.79it/s]
Extracting features:  63%|██████▎   | 75/119 [00:01<00:00, 72.10it/s]
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34440138760735006
Epoch 1, Batch 3,	Train Loss: 0.3446224437040441
Epoch 1, Batch 4,	Train Loss: 0.3449510686537799
Epoch 1, Batch 5,	Train Loss: 0.3435194632586311
Epoch 1, Batch 6,	Train Loss: 0.3444242757909438
Epoch 1, Batch 7,	Train Loss: 0.3460468123940861
Epoch 1, Batch 8,	Train Loss: 0.3449831289403579
Epoch 1, Batch 9,	Train Loss: 0.3446206485523897
Epoch 1, Batch 10,	Train Loss: 0.34569571999942555
Epoch 1, Batch 11,	Train Loss: 0.3435000531813678
Epoch 1, Batch 12,	Train Loss: 0.3437811907599954
Epoch 1, Batch 13,	Train Loss: 0.3450648644391228
Epoch 1, Batch 14,	Train Loss: 0.34360585493199963
Epoch 1, Batch 15,	Train Loss: 0.34386278601253734
Epoch 1, Batch 16,	Train Loss: 0.3437085993149701
Epoch 1, Batch 17,	Train Loss: 0.34735143885892983
Epoch 1, Batch 18,	Train Loss: 0.34482655805699963
Epoch 1, Batch 19,	Train Loss: 0.34440960603601795
Epoch 1, Batch 20,	Train Loss: 0.3444192549761604
Epoch 1, Batch 21,	Train Loss: 0.3440849079805262
Epoch 1, Batch 22,	Train Loss: 0.34518858965705423
Epoch 1, Batch 23,	Train Loss: 0.34402308744542737
Epoch 1, Batch 24,	Train Loss: 0.3453379518845502
Epoch 1, Batch 25,	Train Loss: 0.3445411008947036
Epoch 1, Batch 26,	Train Loss: 0.3441027192508473
Epoch 1, Batch 27,	Train Loss: 0.34508660260368795
Epoch 1, Batch 28,	Train Loss: 0.3441273464876063
Epoch 1, Batch 29,	Train Loss: 0.34357407513786764
Epoch 1, Batch 30,	Train Loss: 0.34513383753159466
Epoch 1, Batch 31,	Train Loss: 0.3437243349411908
Epoch 1, Batch 32,	Train Loss: 0.3441237281350529
Epoch 1, Batch 33,	Train Loss: 0.34439779730404124
Epoch 1, Batch 34,	Train Loss: 0.2470080431769876
Epoch 1 Train Loss: 11.616911972270293
Epoch 1 Test Accuracy: 0.48739495798319327
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.34298010433421416
Epoch 2, Batch 2,	Train Loss: 0.343415568856632
Epoch 2, Batch 3,	Train Loss: 0.3419005730572869
Epoch 2, Batch 4,	Train Loss: 0.3429860507740694
Epoch 2, Batch 5,	Train Loss: 0.3430807450238396
Epoch 2, Batch 6,	Train Loss: 0.34694640776690316
Epoch 2, Batch 7,	Train Loss: 0.34616506800932045
Epoch 2, Batch 8,	Train Loss: 0.3450089903438793
Epoch 2, Batch 9,	Train Loss: 0.34413685518152576
Epoch 2, Batch 10,	Train Loss: 0.3437989178825827
Epoch 2, Batch 11,	Train Loss: 0.34456612082088695
Epoch 2, Batch 12,	Train Loss: 0.34345635245828066
Epoch 2, Batch 13,	Train Loss: 0.34441423416137695
Epoch 2, Batch 14,	Train Loss: 0.3440265936010024
Epoch 2, Batch 15,	Train Loss: 0.34383243672987995
Epoch 2, Batch 16,	Train Loss: 0.3442140467026654
Epoch 2, Batch 17,	Train Loss: 0.3442797099842745
Epoch 2, Batch 18,	Train Loss: 0.3440555123721852
Epoch 2, Batch 19,	Train Loss: 0.34366874133839326
Epoch 2, Batch 20,	Train Loss: 0.34337582307703357
Epoch 2, Batch 21,	Train Loss: 0.3436395701240091
Epoch 2, Batch 22,	Train Loss: 0.34501000011668487
Epoch 2, Batch 23,	Train Loss: 0.3440760163699879
Epoch 2, Batch 24,	Train Loss: 0.3434828309451832
Epoch 2, Batch 25,	Train Loss: 0.3439551241257611
Epoch 2, Batch 26,	Train Loss: 0.3433004547567928
Epoch 2, Batch 27,	Train Loss: 0.3443896630231072
Epoch 2, Batch 28,	Train Loss: 0.34395288018619313
Epoch 2, Batch 29,	Train Loss: 0.34372461543363686
Epoch 2, Batch 30,	Train Loss: 0.34438809226540956
Epoch 2, Batch 31,	Train Loss: 0.34377479553222656
Epoch 2, Batch 32,	Train Loss: 0.3436993711134967
Epoch 2, Batch 33,	Train Loss: 0.34374113643870635
Epoch 2, Batch 34,	Train Loss: 0.24686342127182903
Epoch 2 Train Loss: 11.598306824179257
Epoch 2 Test Accuracy: 0.4117647058823529
Starting epoch number 2
Epoch 3, Batch 1,	Train Loss: 0.34420958687277403
Epoch 3, Batch 2,	Train Loss: 0.3437203519484576
Epoch 3, Batch 3,	Train Loss: 0.34339096966911764
Epoch 3, Batch 4,	Train Loss: 0.34333666633157167
Epoch 3, Batch 5,	Train Loss: 0.34340858459472656
Epoch 3, Batch 6,	Train Loss: 0.3436075939851649
Epoch 3, Batch 7,	Train Loss: 0.34261737150304455
Epoch 3, Batch 8,	Train Loss: 0.3420555170844583
Epoch 3, Batch 9,	Train Loss: 0.3437177714179544
Epoch 3, Batch 10,	Train Loss: 0.3427838998682359
Epoch 3, Batch 11,	Train Loss: 0.34557533264160156
Epoch 3, Batch 12,	Train Loss: 0.344539389890783
Epoch 3, Batch 13,	Train Loss: 0.3433900720932904
Epoch 3, Batch 14,	Train Loss: 0.3443094982820399
Epoch 3, Batch 15,	Train Loss: 0.34376200507668886
Epoch 3, Batch 16,	Train Loss: 0.3447560703053194
Epoch 3, Batch 17,	Train Loss: 0.3439002317540786
Epoch 3, Batch 18,	Train Loss: 0.3436642534592572
Epoch 3, Batch 19,	Train Loss: 0.3434566329507267
Epoch 3, Batch 20,	Train Loss: 0.3431083174312816
Epoch 3, Batch 21,	Train Loss: 0.3435213145087747
Epoch 3, Batch 22,	Train Loss: 0.3437902506660013
Epoch 3, Batch 23,	Train Loss: 0.34423326043521657
Epoch 3, Batch 24,	Train Loss: 0.34284644968369427
Epoch 3, Batch 25,	Train Loss: 0.34395644244025736
Epoch 3, Batch 26,	Train Loss: 0.34427564284380746
Epoch 3, Batch 27,	Train Loss: 0.3437803212334128
Epoch 3, Batch 28,	Train Loss: 0.34387798870311065
Epoch 3, Batch 29,	Train Loss: 0.3440865628859576
Epoch 3, Batch 30,	Train Loss: 0.3432446928585277
Epoch 3, Batch 31,	Train Loss: 0.3434881322524127
Epoch 3, Batch 32,	Train Loss: 0.34322020586799173

Extracting features: 100%|██████████| 119/119 [00:01<00:00, 74.00it/s]
Epoch 3, Batch 34,	Train Loss: 0.24747638141407685
Epoch 3 Train Loss: 11.588370743919821
Epoch 3 Test Accuracy: 0.5210084033613446
Starting epoch number 3
Epoch 4, Batch 1,	Train Loss: 0.34360919279210705
Epoch 4, Batch 2,	Train Loss: 0.343383648816277
Epoch 4, Batch 3,	Train Loss: 0.34346482333014994
Epoch 4, Batch 4,	Train Loss: 0.34380138621610756
Epoch 4, Batch 5,	Train Loss: 0.3437930836397059
Epoch 4, Batch 6,	Train Loss: 0.3433922879836139
Epoch 4, Batch 7,	Train Loss: 0.34308455972110524
Epoch 4, Batch 8,	Train Loss: 0.3445325458751005
Epoch 4, Batch 9,	Train Loss: 0.34365421182969036
Epoch 4, Batch 10,	Train Loss: 0.34353090735042796
Epoch 4, Batch 11,	Train Loss: 0.34290097741519704
Epoch 4, Batch 12,	Train Loss: 0.343291114358341
Epoch 4, Batch 13,	Train Loss: 0.3427836193757899
Epoch 4, Batch 14,	Train Loss: 0.34351259119370403
Epoch 4, Batch 15,	Train Loss: 0.34418195836684284
Epoch 4, Batch 16,	Train Loss: 0.3429897532743566
Epoch 4, Batch 17,	Train Loss: 0.34354442708632527
Epoch 4, Batch 18,	Train Loss: 0.34350038977230296
Epoch 4, Batch 19,	Train Loss: 0.3433813207289752
Epoch 4, Batch 20,	Train Loss: 0.34316211588242473
Epoch 4, Batch 21,	Train Loss: 0.34324780632467833
Epoch 4, Batch 22,	Train Loss: 0.3435029703028062
Epoch 4, Batch 23,	Train Loss: 0.3438522394965677
Epoch 4, Batch 24,	Train Loss: 0.34337952557732077
Epoch 4, Batch 25,	Train Loss: 0.3434451608096852
Epoch 4, Batch 26,	Train Loss: 0.34300756454467773
Epoch 4, Batch 27,	Train Loss: 0.34344830232508045
Epoch 4, Batch 28,	Train Loss: 0.3427126267377068
Epoch 4, Batch 29,	Train Loss: 0.34311698464786305
Epoch 4, Batch 30,	Train Loss: 0.343234567081227
Epoch 4, Batch 31,	Train Loss: 0.3429291388567756
Epoch 4, Batch 32,	Train Loss: 0.3444460700539982
Epoch 4, Batch 33,	Train Loss: 0.3431135345907772
Epoch 4, Batch 34,	Train Loss: 0.24629993999705596
Epoch 4 Train Loss: 11.579231346354765
Epoch 4 Test Accuracy: 0.5294117647058824
Starting epoch number 4
Epoch 5, Batch 1,	Train Loss: 0.34285646326401653
Epoch 5, Batch 2,	Train Loss: 0.3426962179296157
Epoch 5, Batch 3,	Train Loss: 0.34213966481825886
Epoch 5, Batch 4,	Train Loss: 0.34332993451286764
Epoch 5, Batch 5,	Train Loss: 0.3426927959217745
Epoch 5, Batch 6,	Train Loss: 0.3427542798659381
Epoch 5, Batch 7,	Train Loss: 0.3435214547549977
Epoch 5, Batch 8,	Train Loss: 0.3440479110268986
Epoch 5, Batch 9,	Train Loss: 0.34229612350463867
Epoch 5, Batch 10,	Train Loss: 0.3424827351289637
Epoch 5, Batch 11,	Train Loss: 0.34329908034380746
Epoch 5, Batch 12,	Train Loss: 0.34485600976382985
Epoch 5, Batch 13,	Train Loss: 0.34368467330932617
Epoch 5, Batch 14,	Train Loss: 0.34393950069651885
Epoch 5, Batch 15,	Train Loss: 0.34330906587488513
Epoch 5, Batch 16,	Train Loss: 0.34320730321547566
Epoch 5, Batch 17,	Train Loss: 0.3426162495332606
Epoch 5, Batch 18,	Train Loss: 0.3430044510785271
Epoch 5, Batch 19,	Train Loss: 0.34276244219611673
Epoch 5, Batch 20,	Train Loss: 0.34354086483226104
Epoch 5, Batch 21,	Train Loss: 0.34379008237053366
Epoch 5, Batch 22,	Train Loss: 0.3435056630302878
Epoch 5, Batch 23,	Train Loss: 0.34347929674036365
Epoch 5, Batch 24,	Train Loss: 0.343014632954317
Epoch 5, Batch 25,	Train Loss: 0.3433750657474293
Epoch 5, Batch 26,	Train Loss: 0.3430327527663287
Epoch 5, Batch 27,	Train Loss: 0.34353211346794577
Epoch 5, Batch 28,	Train Loss: 0.343388417187859
Epoch 5, Batch 29,	Train Loss: 0.3428955078125
Epoch 5, Batch 30,	Train Loss: 0.34319672865026135
Epoch 5, Batch 31,	Train Loss: 0.3436112403869629
Epoch 5, Batch 32,	Train Loss: 0.3433395554037655
Epoch 5, Batch 33,	Train Loss: 0.3428896735696232
Epoch 5, Batch 34,	Train Loss: 0.24689971699434168
Epoch 5 Train Loss: 11.572987668654498
Epoch 5 Test Accuracy: 0.5966386554621849
Starting epoch number 5
Epoch 6, Batch 1,	Train Loss: 0.34296369552612305
Epoch 6, Batch 2,	Train Loss: 0.34292038749246034
Epoch 6, Batch 3,	Train Loss: 0.3430848963120404
Epoch 6, Batch 4,	Train Loss: 0.34307005826164694
Epoch 6, Batch 5,	Train Loss: 0.34288790646721334
Epoch 6, Batch 6,	Train Loss: 0.3428153991699219
Epoch 6, Batch 7,	Train Loss: 0.34303393083460193
Epoch 6, Batch 8,	Train Loss: 0.3431454826803768
Epoch 6, Batch 9,	Train Loss: 0.3432140069849351
Epoch 6, Batch 10,	Train Loss: 0.343135581297033
Epoch 6, Batch 11,	Train Loss: 0.34404735004200654
