Initializing the music classifier...
Loading training and test data...

Loading audio files:  61%|██████▏   | 662/1079 [00:18<00:01, 349.20it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:19<00:00, 55.82it/s]








Extracting features:  98%|█████████▊| 1058/1079 [00:17<00:00, 68.67it/s]
Extracting features: 100%|██████████| 1079/1079 [00:17<00:00, 62.51it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]
Loading audio files: 100%|██████████| 119/119 [00:22<00:00,  5.30it/s]
Extracting features:  38%|███▊      | 45/119 [00:00<00:01, 51.79it/s]
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626382715562
Epoch 1, Batch 2,	Train Loss: 0.34382520002477307
Epoch 1, Batch 3,	Train Loss: 0.34624046437880573
Epoch 1, Batch 4,	Train Loss: 0.34413037580602307
Epoch 1, Batch 5,	Train Loss: 0.3461112134596881
Epoch 1, Batch 6,	Train Loss: 0.3444843572728774
Epoch 1, Batch 7,	Train Loss: 0.3450749060686897
Epoch 1, Batch 8,	Train Loss: 0.3451678332160501
Epoch 1, Batch 9,	Train Loss: 0.34458550284890566
Epoch 1, Batch 10,	Train Loss: 0.344020030077766
Epoch 1, Batch 11,	Train Loss: 0.3462506743038402
Epoch 1, Batch 12,	Train Loss: 0.3446720347684972
Epoch 1, Batch 13,	Train Loss: 0.34443821626551013
Epoch 1, Batch 14,	Train Loss: 0.34435563928940716
Epoch 1, Batch 15,	Train Loss: 0.34435426487642173
Epoch 1, Batch 16,	Train Loss: 0.3441690276650822
Epoch 1, Batch 17,	Train Loss: 0.34481174805585074
Epoch 1, Batch 18,	Train Loss: 0.34496063344618855
Epoch 1, Batch 19,	Train Loss: 0.3441773302414838
Epoch 1, Batch 20,	Train Loss: 0.34431959601009593
Epoch 1, Batch 21,	Train Loss: 0.34423230676090016
Epoch 1, Batch 22,	Train Loss: 0.34513361313763785
Epoch 1, Batch 23,	Train Loss: 0.34443140029907227
Epoch 1, Batch 24,	Train Loss: 0.3444058754864861
Epoch 1, Batch 25,	Train Loss: 0.3443622589111328
Epoch 1, Batch 26,	Train Loss: 0.3442959785461426
Epoch 1, Batch 27,	Train Loss: 0.34490787281709556
Epoch 1, Batch 28,	Train Loss: 0.3442794575410731
Epoch 1, Batch 29,	Train Loss: 0.34421727236579447
Epoch 1, Batch 30,	Train Loss: 0.3440362986396341
Epoch 1, Batch 31,	Train Loss: 0.34461304720710306
Epoch 1, Batch 32,	Train Loss: 0.3449665518367992
Epoch 1, Batch 33,	Train Loss: 0.34450668447157917
Epoch 1, Batch 34,	Train Loss: 0.2479399232303395
Epoch 1 Train Loss: 11.621140227598303
Epoch 1 Test Accuracy: 0.453781512605042
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.3443134532255285
Epoch 2, Batch 2,	Train Loss: 0.3444448639364803
Epoch 2, Batch 3,	Train Loss: 0.34460149091832776
Epoch 2, Batch 4,	Train Loss: 0.3443639418658088
Epoch 2, Batch 5,	Train Loss: 0.34432655222275677
Epoch 2, Batch 6,	Train Loss: 0.3445574536043055
Epoch 2, Batch 7,	Train Loss: 0.3442396556629854
Epoch 2, Batch 8,	Train Loss: 0.3443887373980354
Epoch 2, Batch 9,	Train Loss: 0.3443342377157772

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 53.71it/s]
Epoch 2, Batch 11,	Train Loss: 0.3442874515757841
Epoch 2, Batch 12,	Train Loss: 0.34441106459673715
Epoch 2, Batch 13,	Train Loss: 0.34429336996639476
Epoch 2, Batch 14,	Train Loss: 0.3444223964915556
Epoch 2, Batch 15,	Train Loss: 0.3443768445183249
Epoch 2, Batch 16,	Train Loss: 0.3443831275491154
Epoch 2, Batch 17,	Train Loss: 0.3441502907696892
Epoch 2, Batch 18,	Train Loss: 0.3443442793453441
Epoch 2, Batch 19,	Train Loss: 0.3443914020762724
Epoch 2, Batch 20,	Train Loss: 0.34433894998887005
Epoch 2, Batch 21,	Train Loss: 0.3442169638241039
