
Loading audio files:   0%|          | 0/1079 [00:00<?, ?it/s]
Initializing the music classifier...



Loading audio files:  82%|████████▏ | 884/1079 [00:32<00:00, 207.26it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:33<00:00, 32.59it/s]











Extracting features:  97%|█████████▋| 1046/1079 [00:25<00:00, 50.18it/s]
Extracting features: 100%|██████████| 1079/1079 [00:25<00:00, 41.98it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]
Loading audio files: 100%|██████████| 119/119 [00:26<00:00,  4.41it/s]
Extracting features:  18%|█▊        | 22/119 [00:00<00:02, 42.66it/s]

Extracting features:  82%|████████▏ | 98/119 [00:02<00:00, 54.75it/s]
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34465789794921875
Epoch 1, Batch 3,	Train Loss: 0.3446662846733542
Epoch 1, Batch 4,	Train Loss: 0.34464039522058826
Epoch 1, Batch 5,	Train Loss: 0.3445488144369686
Epoch 1, Batch 6,	Train Loss: 0.3446042677935432
Epoch 1, Batch 7,	Train Loss: 0.34475671543794517
Epoch 1, Batch 8,	Train Loss: 0.34456665375653434
Epoch 1, Batch 9,	Train Loss: 0.3445874662960277
Epoch 1, Batch 10,	Train Loss: 0.3446539430057301
Epoch 1, Batch 11,	Train Loss: 0.34478061339434457
Epoch 1, Batch 12,	Train Loss: 0.34481093462775736
Epoch 1, Batch 13,	Train Loss: 0.3448486047632554
Epoch 1, Batch 14,	Train Loss: 0.34465758940752816
Epoch 1, Batch 15,	Train Loss: 0.3446163850672105
Epoch 1, Batch 16,	Train Loss: 0.34470342187320485
Epoch 1, Batch 17,	Train Loss: 0.3446665371165556
Epoch 1, Batch 18,	Train Loss: 0.3446994949789608
Epoch 1, Batch 19,	Train Loss: 0.34471525865442615
Epoch 1, Batch 20,	Train Loss: 0.34464507944443645
Epoch 1, Batch 21,	Train Loss: 0.3446474355809829
Epoch 1, Batch 22,	Train Loss: 0.34468889236450195
Epoch 1, Batch 23,	Train Loss: 0.3446368890650132
Epoch 1, Batch 24,	Train Loss: 0.34464479895199046
Epoch 1, Batch 25,	Train Loss: 0.3446482770583209
Epoch 1, Batch 26,	Train Loss: 0.3446163009194767
Epoch 1, Batch 27,	Train Loss: 0.3446710530449362
Epoch 1, Batch 28,	Train Loss: 0.344630381640266
Epoch 1, Batch 29,	Train Loss: 0.34467551287482767
Epoch 1, Batch 30,	Train Loss: 0.3446941656224868
Epoch 1, Batch 31,	Train Loss: 0.34461405697990866
Epoch 1, Batch 32,	Train Loss: 0.34467453115126667
Epoch 1, Batch 33,	Train Loss: 0.34464412577012005
Epoch 1, Batch 34,	Train Loss: 0.24776570937212775
Epoch 1 Train Loss: 11.621741182663861
Epoch 1 Test Accuracy: 0.31092436974789917
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.3447251319885254
Epoch 2, Batch 2,	Train Loss: 0.34462634254904356
Epoch 2, Batch 3,	Train Loss: 0.3446214339312385
Epoch 2, Batch 4,	Train Loss: 0.34462255590102253
Epoch 2, Batch 5,	Train Loss: 0.34464143304263845
Epoch 2, Batch 6,	Train Loss: 0.34467587751500744
Epoch 2, Batch 7,	Train Loss: 0.3446355427012724
Epoch 2, Batch 8,	Train Loss: 0.34459397372077494
Epoch 2, Batch 9,	Train Loss: 0.34459958356969494
Epoch 2, Batch 10,	Train Loss: 0.34460900811588063
Epoch 2, Batch 11,	Train Loss: 0.34456926233628216
Epoch 2, Batch 12,	Train Loss: 0.34461147644940543
Epoch 2, Batch 13,	Train Loss: 0.34435852836160097
Epoch 2, Batch 14,	Train Loss: 0.3446988778955796
Epoch 2, Batch 15,	Train Loss: 0.34482493120081287
Epoch 2, Batch 16,	Train Loss: 0.34460951300228343
Epoch 2, Batch 17,	Train Loss: 0.34456006218405333
Epoch 2, Batch 18,	Train Loss: 0.34464339648976045
Epoch 2, Batch 19,	Train Loss: 0.3446255571701947
Epoch 2, Batch 20,	Train Loss: 0.3445288433748133
Epoch 2, Batch 21,	Train Loss: 0.34456656960880055
Epoch 2, Batch 22,	Train Loss: 0.3446689213023466
Epoch 2, Batch 23,	Train Loss: 0.34458381989422965
Epoch 2, Batch 24,	Train Loss: 0.3447244027081658
Epoch 2, Batch 25,	Train Loss: 0.34465781380148497
Epoch 2, Batch 26,	Train Loss: 0.3448777198791504
Epoch 2, Batch 27,	Train Loss: 0.3446231168859145
Epoch 2, Batch 28,	Train Loss: 0.34464238671695485
Epoch 2, Batch 29,	Train Loss: 0.34458527845494885
Epoch 2, Batch 30,	Train Loss: 0.3446149265064913
Epoch 2, Batch 31,	Train Loss: 0.3446345329284668
Epoch 2, Batch 32,	Train Loss: 0.3446025006911334
Epoch 2, Batch 33,	Train Loss: 0.3446359353906968
Epoch 2, Batch 34,	Train Loss: 0.24770290711346796
Epoch 2 Train Loss: 11.620502163382138
Epoch 2 Test Accuracy: 0.33613445378151263
Starting epoch number 2
Epoch 3, Batch 1,	Train Loss: 0.3445736380184398
Epoch 3, Batch 2,	Train Loss: 0.34460726906271544
Epoch 3, Batch 3,	Train Loss: 0.3446335792541504
Epoch 3, Batch 4,	Train Loss: 0.34449277204625744
Epoch 3, Batch 5,	Train Loss: 0.34456398907829733
Epoch 3, Batch 6,	Train Loss: 0.34459762012257295
Epoch 3, Batch 7,	Train Loss: 0.3447057780097513
Epoch 3, Batch 8,	Train Loss: 0.34465781380148497
Epoch 3, Batch 9,	Train Loss: 0.3447301808525534
Epoch 3, Batch 10,	Train Loss: 0.34455010470222025
Epoch 3, Batch 11,	Train Loss: 0.34454715953153725
Epoch 3, Batch 12,	Train Loss: 0.34467178232529583
Epoch 3, Batch 13,	Train Loss: 0.3444022290846881
Epoch 3, Batch 14,	Train Loss: 0.34467730802648205
Epoch 3, Batch 15,	Train Loss: 0.3448157590978286
Epoch 3, Batch 16,	Train Loss: 0.3444999246036305
Epoch 3, Batch 17,	Train Loss: 0.34444494808421416
Epoch 3, Batch 18,	Train Loss: 0.34489090302411246
Epoch 3, Batch 19,	Train Loss: 0.34469447416417737
Epoch 3, Batch 20,	Train Loss: 0.3446470989900477
Epoch 3, Batch 21,	Train Loss: 0.3445701318628648
Epoch 3, Batch 22,	Train Loss: 0.34457579781027403
Epoch 3, Batch 23,	Train Loss: 0.34448901344748106

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 45.97it/s]
