Initializing the music classifier...
Loading training and test data...


Loading audio files:  70%|███████   | 759/1079 [00:17<00:00, 369.96it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:18<00:00, 57.10it/s]







Extracting features:  93%|█████████▎| 1002/1079 [00:15<00:01, 74.63it/s]
Extracting features: 100%|██████████| 1079/1079 [00:16<00:00, 66.33it/s]

Loading audio files:  29%|██▊       | 34/119 [00:17<00:23,  3.57it/s]
Extracting features...
Loading audio files: 100%|██████████| 119/119 [00:17<00:00,  6.83it/s]
Extracting features: 100%|██████████| 119/119 [00:01<00:00, 72.01it/s]
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34467150183284984
Epoch 1, Batch 3,	Train Loss: 0.3446629468132468
Epoch 1, Batch 4,	Train Loss: 0.3446782056023093
Epoch 1, Batch 5,	Train Loss: 0.3446439855238971
Epoch 1, Batch 6,	Train Loss: 0.3446403671713436
Epoch 1, Batch 7,	Train Loss: 0.3446234254276051
Epoch 1, Batch 8,	Train Loss: 0.34461719849530387
Epoch 1, Batch 9,	Train Loss: 0.3444550458122702
Epoch 1, Batch 10,	Train Loss: 0.34481676887063417
Epoch 1, Batch 11,	Train Loss: 0.3448330374325023
Epoch 1, Batch 12,	Train Loss: 0.3444813840529498
Epoch 1, Batch 13,	Train Loss: 0.34467338113223805
Epoch 1, Batch 14,	Train Loss: 0.34472008312449737
Epoch 1, Batch 15,	Train Loss: 0.34477749992819395
Epoch 1, Batch 16,	Train Loss: 0.3446042397442986
Epoch 1, Batch 17,	Train Loss: 0.3447396053987391
Epoch 1, Batch 18,	Train Loss: 0.3447883549858542
Epoch 1, Batch 19,	Train Loss: 0.34455161936142864
Epoch 1, Batch 20,	Train Loss: 0.3447517226724064
Epoch 1, Batch 21,	Train Loss: 0.34466134800630455
Epoch 1, Batch 22,	Train Loss: 0.344635570750517
Epoch 1, Batch 23,	Train Loss: 0.34465495277853575
Epoch 1, Batch 24,	Train Loss: 0.3447921696831198
Epoch 1, Batch 25,	Train Loss: 0.3448189006132238
Epoch 1, Batch 26,	Train Loss: 0.3446488380432129
Epoch 1, Batch 27,	Train Loss: 0.3446355987997616
Epoch 1, Batch 28,	Train Loss: 0.344634869519402
Epoch 1, Batch 29,	Train Loss: 0.34468617158777576
Epoch 1, Batch 30,	Train Loss: 0.3446475477779613
Epoch 1, Batch 31,	Train Loss: 0.34464087205774646
Epoch 1, Batch 32,	Train Loss: 0.34462681938620177
Epoch 1, Batch 33,	Train Loss: 0.3446417696335736
Epoch 1, Batch 34,	Train Loss: 0.24773572472965016
Epoch 1 Train Loss: 11.6218542211196
Epoch 1 Test Accuracy: 0.33613445378151263
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.3446352061103372
Epoch 2, Batch 2,	Train Loss: 0.3446339719435748
Epoch 2, Batch 3,	Train Loss: 0.3446030336267808
Epoch 2, Batch 4,	Train Loss: 0.3446432281942928
Epoch 2, Batch 5,	Train Loss: 0.34458496991325827
Epoch 2, Batch 6,	Train Loss: 0.3446026128881118
Epoch 2, Batch 7,	Train Loss: 0.34462255590102253
Epoch 2, Batch 8,	Train Loss: 0.3446602260365206
Epoch 2, Batch 9,	Train Loss: 0.34464039522058826
Epoch 2, Batch 10,	Train Loss: 0.344730489394244
Epoch 2, Batch 11,	Train Loss: 0.3446321767919204
Epoch 2, Batch 12,	Train Loss: 0.3446386000689338
Epoch 2, Batch 13,	Train Loss: 0.3446036787594066
Epoch 2, Batch 14,	Train Loss: 0.3446066519793342
Epoch 2, Batch 15,	Train Loss: 0.34474723479327035
Epoch 2, Batch 16,	Train Loss: 0.3446107752182904
Epoch 2, Batch 17,	Train Loss: 0.3446362158831428
Epoch 2, Batch 18,	Train Loss: 0.34462379006778493
Epoch 2, Batch 19,	Train Loss: 0.3446252766777487
Epoch 2, Batch 20,	Train Loss: 0.3445756856132956
Epoch 2, Batch 21,	Train Loss: 0.3445746197420008
Epoch 2, Batch 22,	Train Loss: 0.3446155996883617
Epoch 2, Batch 23,	Train Loss: 0.34470516092637005
Epoch 2, Batch 24,	Train Loss: 0.3445899907280417
Epoch 2, Batch 25,	Train Loss: 0.34450258928186756
Epoch 2, Batch 26,	Train Loss: 0.34475865083582263
Epoch 2, Batch 27,	Train Loss: 0.34460726906271544
Epoch 2, Batch 28,	Train Loss: 0.34442853927612305
Epoch 2, Batch 29,	Train Loss: 0.34463077432969036
Epoch 2, Batch 30,	Train Loss: 0.34465944065767173
Epoch 2, Batch 31,	Train Loss: 0.3446446867550121
Epoch 2, Batch 32,	Train Loss: 0.34479834051693187
Epoch 2, Batch 33,	Train Loss: 0.3447163525749655
Epoch 2, Batch 34,	Train Loss: 0.2477383052601534
Epoch 2 Train Loss: 11.620627094717587
Epoch 2 Test Accuracy: 0.5714285714285714
Starting epoch number 2
Epoch 3, Batch 1,	Train Loss: 0.3445557706496295
Epoch 3, Batch 2,	Train Loss: 0.3446017994600184
Epoch 3, Batch 3,	Train Loss: 0.34459661034976735
Epoch 3, Batch 4,	Train Loss: 0.3446909680086024
Epoch 3, Batch 5,	Train Loss: 0.3446636199951172
Epoch 3, Batch 6,	Train Loss: 0.3446042677935432
Epoch 3, Batch 7,	Train Loss: 0.34458095887128043
Epoch 3, Batch 8,	Train Loss: 0.3445727404426126
Epoch 3, Batch 9,	Train Loss: 0.3446086154264562
Epoch 3, Batch 10,	Train Loss: 0.3446501844069537
Epoch 3, Batch 11,	Train Loss: 0.3446718103745404
Epoch 3, Batch 12,	Train Loss: 0.34461122400620403
Epoch 3, Batch 13,	Train Loss: 0.3446122618282543
Epoch 3, Batch 14,	Train Loss: 0.3445926273570341
Epoch 3, Batch 15,	Train Loss: 0.34460168726303997
Epoch 3, Batch 16,	Train Loss: 0.3445720672607422
Epoch 3, Batch 17,	Train Loss: 0.3446062592899098
Epoch 3, Batch 18,	Train Loss: 0.34459417006548715
Epoch 3, Batch 19,	Train Loss: 0.3445614365970387
Epoch 3, Batch 20,	Train Loss: 0.3446208729463465
Epoch 3, Batch 21,	Train Loss: 0.3444518201491412
Epoch 3, Batch 22,	Train Loss: 0.3446963534635656
Epoch 3, Batch 23,	Train Loss: 0.34466084311990175
Epoch 3, Batch 24,	Train Loss: 0.3445427838493796
Epoch 3, Batch 25,	Train Loss: 0.3446185168098001
Epoch 3, Batch 26,	Train Loss: 0.3445379313300638
