Initializing the music classifier...
Loading training and test data...


Loading audio files:  67%|██████▋   | 721/1079 [00:22<00:01, 240.95it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:23<00:00, 45.37it/s]








Extracting features: 100%|██████████| 1079/1079 [00:20<00:00, 52.43it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]
Normalizing features...
Loading audio files: 100%|██████████| 119/119 [00:19<00:00,  6.08it/s]
Extracting features:  11%|█         | 13/119 [00:00<00:01, 56.03it/s]
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626382715562
Epoch 1, Batch 2,	Train Loss: 0.34468695696662455
Epoch 1, Batch 3,	Train Loss: 0.3447134074042825
Epoch 1, Batch 4,	Train Loss: 0.34474964702830596
Epoch 1, Batch 5,	Train Loss: 0.34461237402523265
Epoch 1, Batch 6,	Train Loss: 0.3447549202862908
Epoch 1, Batch 7,	Train Loss: 0.34470302918378043
Epoch 1, Batch 8,	Train Loss: 0.34470532922183766
Epoch 1, Batch 9,	Train Loss: 0.3446727920981014
Epoch 1, Batch 10,	Train Loss: 0.3445415216333726
Epoch 1, Batch 11,	Train Loss: 0.3446287267348346
Epoch 1, Batch 12,	Train Loss: 0.3446187692530015
Epoch 1, Batch 13,	Train Loss: 0.34455173155840707
Epoch 1, Batch 14,	Train Loss: 0.34468605939079733
Epoch 1, Batch 15,	Train Loss: 0.3443397914662081
Epoch 1, Batch 16,	Train Loss: 0.3448578329647289
Epoch 1, Batch 17,	Train Loss: 0.34466050652896657
Epoch 1, Batch 18,	Train Loss: 0.34456508299883676
Epoch 1, Batch 19,	Train Loss: 0.3447345565347111
Epoch 1, Batch 20,	Train Loss: 0.34440357544842887
Epoch 1, Batch 21,	Train Loss: 0.34473500532262463
Epoch 1, Batch 22,	Train Loss: 0.3444073340472053
Epoch 1, Batch 23,	Train Loss: 0.3446715859805836
Epoch 1, Batch 24,	Train Loss: 0.34430907754337087
Epoch 1, Batch 25,	Train Loss: 0.3444209379308364
Epoch 1, Batch 26,	Train Loss: 0.3453454129836139
Epoch 1, Batch 27,	Train Loss: 0.3444550738615148
Epoch 1, Batch 28,	Train Loss: 0.3450926612405216
Epoch 1, Batch 29,	Train Loss: 0.34484366809620576
