Initializing the music classifier...
Loading training and test data...


Loading audio files:  67%|██████▋   | 720/1079 [00:20<00:01, 357.27it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:21<00:00, 50.24it/s]







Extracting features: 100%|██████████| 1079/1079 [00:16<00:00, 64.25it/s]
Loading audio files:   0%|          | 0/119 [00:00<?, ?it/s]
Loading audio files: 100%|██████████| 119/119 [00:18<00:00,  6.52it/s]
Extracting features:  11%|█         | 13/119 [00:00<00:02, 51.27it/s]
Extracting features...
Normalizing features...

Extracting features: 100%|██████████| 119/119 [00:01<00:00, 70.65it/s]
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34468527401194854
Epoch 1, Batch 3,	Train Loss: 0.3446916411904728
Epoch 1, Batch 4,	Train Loss: 0.34469158509198355
Epoch 1, Batch 5,	Train Loss: 0.3446494551265941
Epoch 1, Batch 6,	Train Loss: 0.3446193302378935
Epoch 1, Batch 7,	Train Loss: 0.3447304613449994
Epoch 1, Batch 8,	Train Loss: 0.34464311599731445
Epoch 1, Batch 9,	Train Loss: 0.34466785543105183
Epoch 1, Batch 10,	Train Loss: 0.344692679012523
Epoch 1, Batch 11,	Train Loss: 0.3446573089150822
Epoch 1, Batch 12,	Train Loss: 0.3446202278137207
Epoch 1, Batch 13,	Train Loss: 0.34466174069572897
Epoch 1, Batch 14,	Train Loss: 0.3447121171390309
Epoch 1, Batch 15,	Train Loss: 0.3446812629699707
Epoch 1, Batch 16,	Train Loss: 0.3446521478540757
Epoch 1, Batch 17,	Train Loss: 0.34464210622450886
Epoch 1, Batch 18,	Train Loss: 0.3446456404293285
Epoch 1, Batch 19,	Train Loss: 0.3445877467884737
Epoch 1, Batch 20,	Train Loss: 0.34464286355411305
Epoch 1, Batch 21,	Train Loss: 0.3446514185737161
Epoch 1, Batch 22,	Train Loss: 0.34470560971428366
Epoch 1, Batch 23,	Train Loss: 0.3446311950683594
Epoch 1, Batch 24,	Train Loss: 0.34467584946576285
Epoch 1, Batch 25,	Train Loss: 0.34470639509313244
Epoch 1, Batch 26,	Train Loss: 0.3447214855867274
Epoch 1, Batch 27,	Train Loss: 0.3446151789496927
Epoch 1, Batch 28,	Train Loss: 0.34467077255249023
Epoch 1, Batch 29,	Train Loss: 0.34463635612936583
Epoch 1, Batch 30,	Train Loss: 0.3446798885569853
Epoch 1, Batch 31,	Train Loss: 0.3446497356190401
Epoch 1, Batch 32,	Train Loss: 0.34469786812277403
Epoch 1, Batch 33,	Train Loss: 0.344636131735409
Epoch 1, Batch 34,	Train Loss: 0.24770391688627355
Epoch 1 Train Loss: 11.621619056252872
Epoch 1 Test Accuracy: 0.33613445378151263
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.3446065117331112
Epoch 2, Batch 2,	Train Loss: 0.3446366085725672
Epoch 2, Batch 3,	Train Loss: 0.3446360195384306
Epoch 2, Batch 4,	Train Loss: 0.34466979082892923
Epoch 2, Batch 5,	Train Loss: 0.3446515307706945
Epoch 2, Batch 6,	Train Loss: 0.344605614157284
Epoch 2, Batch 7,	Train Loss: 0.3447597728056066
Epoch 2, Batch 8,	Train Loss: 0.3446787946364459
Epoch 2, Batch 9,	Train Loss: 0.3445730770335478
Epoch 2, Batch 10,	Train Loss: 0.34472476734834556
Epoch 2, Batch 11,	Train Loss: 0.34462973650764017
Epoch 2, Batch 12,	Train Loss: 0.3446519515093635
Epoch 2, Batch 13,	Train Loss: 0.34464289160335765
Epoch 2, Batch 14,	Train Loss: 0.34465450399062214
Epoch 2, Batch 15,	Train Loss: 0.34463464512544517
Epoch 2, Batch 16,	Train Loss: 0.34461652531343345
Epoch 2, Batch 17,	Train Loss: 0.3445901309742647
Epoch 2, Batch 18,	Train Loss: 0.3445878028869629
Epoch 2, Batch 19,	Train Loss: 0.3445534145130831
Epoch 2, Batch 20,	Train Loss: 0.3446212095372817
Epoch 2, Batch 21,	Train Loss: 0.3447442896225873
Epoch 2, Batch 22,	Train Loss: 0.3446665371165556
Epoch 2, Batch 23,	Train Loss: 0.3446214619804831
Epoch 2, Batch 24,	Train Loss: 0.34461481430951285
Epoch 2, Batch 25,	Train Loss: 0.34461091546451345
Epoch 2, Batch 26,	Train Loss: 0.3446093166575712
Epoch 2, Batch 27,	Train Loss: 0.3446817678563735
Epoch 2, Batch 28,	Train Loss: 0.3446201997644761
Epoch 2, Batch 29,	Train Loss: 0.344632345087388
Epoch 2, Batch 30,	Train Loss: 0.34460729711196003
Epoch 2, Batch 31,	Train Loss: 0.34462426690494313
Epoch 2, Batch 32,	Train Loss: 0.34459105659933653
Epoch 2, Batch 33,	Train Loss: 0.34459543228149414
Epoch 2, Batch 34,	Train Loss: 0.24768963982077205
Epoch 2 Train Loss: 11.620634639964385
Epoch 2 Test Accuracy: 0.33613445378151263
Starting epoch number 2
Epoch 3, Batch 1,	Train Loss: 0.34457506852991443
Epoch 3, Batch 2,	Train Loss: 0.34475239585427675
Epoch 3, Batch 3,	Train Loss: 0.3446063714868882
Epoch 3, Batch 4,	Train Loss: 0.3445957688724293
Epoch 3, Batch 5,	Train Loss: 0.34470179501701803
Epoch 3, Batch 6,	Train Loss: 0.34453737034517173
Epoch 3, Batch 7,	Train Loss: 0.3445945908041561
Epoch 3, Batch 8,	Train Loss: 0.34468810698565316
Epoch 3, Batch 9,	Train Loss: 0.344516305362477
Epoch 3, Batch 10,	Train Loss: 0.3446272681741154
Epoch 3, Batch 11,	Train Loss: 0.34470196331248565
Epoch 3, Batch 12,	Train Loss: 0.34459515178904815
Epoch 3, Batch 13,	Train Loss: 0.3446038470548742
Epoch 3, Batch 14,	Train Loss: 0.34456368053660674
Epoch 3, Batch 15,	Train Loss: 0.34472838570089903
Epoch 3, Batch 16,	Train Loss: 0.3446066519793342
Epoch 3, Batch 17,	Train Loss: 0.3445742831510656
Epoch 3, Batch 18,	Train Loss: 0.34453683740952434
Epoch 3, Batch 19,	Train Loss: 0.3445265994352453
Epoch 3, Batch 20,	Train Loss: 0.3445633158964269
Epoch 3, Batch 21,	Train Loss: 0.3445253652684829
Epoch 3, Batch 22,	Train Loss: 0.3445561352898093
Epoch 3, Batch 23,	Train Loss: 0.3446010982289034
Epoch 3, Batch 24,	Train Loss: 0.34461231792674346
Epoch 3, Batch 25,	Train Loss: 0.34461293501012463
Epoch 3, Batch 26,	Train Loss: 0.3448074565214269
Epoch 3, Batch 27,	Train Loss: 0.3445608756121467
Epoch 3, Batch 28,	Train Loss: 0.3445553779602051
Epoch 3, Batch 29,	Train Loss: 0.34479421727797566
Epoch 3, Batch 30,	Train Loss: 0.3445557986988741
Epoch 3, Batch 31,	Train Loss: 0.3445724879994112
Epoch 3, Batch 32,	Train Loss: 0.3444650032941033
Epoch 3, Batch 33,	Train Loss: 0.34473421994377584
Epoch 3, Batch 34,	Train Loss: 0.2476671162773581
Epoch 3 Train Loss: 11.61981616300695
Epoch 3 Test Accuracy: 0.36134453781512604
Starting epoch number 3
Epoch 4, Batch 1,	Train Loss: 0.3444928281447467
Epoch 4, Batch 2,	Train Loss: 0.34466418098000917
Epoch 4, Batch 3,	Train Loss: 0.34446155323701744
Epoch 4, Batch 4,	Train Loss: 0.3446122337790096
Epoch 4, Batch 5,	Train Loss: 0.34447142657111673
Epoch 4, Batch 6,	Train Loss: 0.34464120864868164
Epoch 4, Batch 7,	Train Loss: 0.34467026766608744
Epoch 4, Batch 8,	Train Loss: 0.34459324444041534
Epoch 4, Batch 9,	Train Loss: 0.34460020065307617
Epoch 4, Batch 10,	Train Loss: 0.3445154077866498
Epoch 4, Batch 11,	Train Loss: 0.3444948476903579
Epoch 4, Batch 12,	Train Loss: 0.3447318638072294
Epoch 4, Batch 13,	Train Loss: 0.3447578374077292
Epoch 4, Batch 14,	Train Loss: 0.3445765831891228
Epoch 4, Batch 15,	Train Loss: 0.3446817117578843
Epoch 4, Batch 16,	Train Loss: 0.3445562474867877
Epoch 4, Batch 17,	Train Loss: 0.34456564398372874
Epoch 4, Batch 18,	Train Loss: 0.3446015750660616
Epoch 4, Batch 19,	Train Loss: 0.34453344345092773
Epoch 4, Batch 20,	Train Loss: 0.3446017994600184
Epoch 4, Batch 21,	Train Loss: 0.34454772051642923
Epoch 4, Batch 22,	Train Loss: 0.3445785466362448
Epoch 4, Batch 23,	Train Loss: 0.34460193970624137
Epoch 4, Batch 24,	Train Loss: 0.3445615487940171
Epoch 4, Batch 25,	Train Loss: 0.3445439899668974
Epoch 4, Batch 26,	Train Loss: 0.3445420265197754
Epoch 4, Batch 27,	Train Loss: 0.3444936135235955
Epoch 4, Batch 28,	Train Loss: 0.3446304096895106
Epoch 4, Batch 29,	Train Loss: 0.34461085936602426
Epoch 4, Batch 30,	Train Loss: 0.3445371740004596
Epoch 4, Batch 31,	Train Loss: 0.344569346484016
Epoch 4, Batch 32,	Train Loss: 0.34458236133351045
Epoch 4, Batch 33,	Train Loss: 0.34449176227345185
Epoch 4, Batch 34,	Train Loss: 0.24759253333596623
Epoch 4 Train Loss: 11.618707937352797
Epoch 4 Test Accuracy: 0.3697478991596639
Starting epoch number 4
Epoch 5, Batch 1,	Train Loss: 0.3444965586942785
Epoch 5, Batch 2,	Train Loss: 0.34451428581686583
Epoch 5, Batch 3,	Train Loss: 0.3445309190189137
Epoch 5, Batch 4,	Train Loss: 0.34459391762228575
Epoch 5, Batch 5,	Train Loss: 0.34443092346191406
Epoch 5, Batch 6,	Train Loss: 0.3446430038003361
Epoch 5, Batch 7,	Train Loss: 0.3446496795205509
Epoch 5, Batch 8,	Train Loss: 0.3445396423339844
Epoch 5, Batch 9,	Train Loss: 0.3444981014027315
Epoch 5, Batch 10,	Train Loss: 0.34459733963012695
Epoch 5, Batch 11,	Train Loss: 0.34433653775383444
Epoch 5, Batch 12,	Train Loss: 0.3444564763237448
Epoch 5, Batch 13,	Train Loss: 0.34457868688246784
Epoch 5, Batch 14,	Train Loss: 0.34468841552734375
Epoch 5, Batch 15,	Train Loss: 0.34455571455114026
Epoch 5, Batch 16,	Train Loss: 0.3443748530219583
Epoch 5, Batch 17,	Train Loss: 0.34471811967737537
