Initializing the music classifier...
Loading training and test data...

Loading audio files:  39%|███▊      | 418/1079 [00:17<00:03, 207.45it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:19<00:00, 54.42it/s]







Extracting features:  95%|█████████▌| 1030/1079 [00:16<00:00, 72.92it/s]
Extracting features: 100%|██████████| 1079/1079 [00:17<00:00, 63.29it/s]

Loading audio files:  20%|██        | 24/119 [00:21<00:46,  2.04it/s]
Loading audio files: 100%|██████████| 119/119 [00:21<00:00,  5.42it/s]
Extracting features:  42%|████▏     | 50/119 [00:01<00:01, 48.46it/s]
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.3446989339940688
Epoch 1, Batch 3,	Train Loss: 0.3446470989900477
Epoch 1, Batch 4,	Train Loss: 0.34460754955516143
Epoch 1, Batch 5,	Train Loss: 0.3447415968951057
Epoch 1, Batch 6,	Train Loss: 0.34468507766723633
Epoch 1, Batch 7,	Train Loss: 0.34464510749368105
Epoch 1, Batch 8,	Train Loss: 0.3446502405054429
Epoch 1, Batch 9,	Train Loss: 0.34461747898774986
Epoch 1, Batch 10,	Train Loss: 0.34465646743774414
Epoch 1, Batch 11,	Train Loss: 0.3446092886083266
Epoch 1, Batch 12,	Train Loss: 0.3447069280287799
Epoch 1, Batch 13,	Train Loss: 0.3447273759280934
Epoch 1, Batch 14,	Train Loss: 0.3447144171770881
Epoch 1, Batch 15,	Train Loss: 0.34469040702371034
Epoch 1, Batch 16,	Train Loss: 0.3446558503543629
Epoch 1, Batch 17,	Train Loss: 0.3446676590863396
Epoch 1, Batch 18,	Train Loss: 0.344671557931339
Epoch 1, Batch 19,	Train Loss: 0.34464196597828584
Epoch 1, Batch 20,	Train Loss: 0.34463705736048084
Epoch 1, Batch 21,	Train Loss: 0.34460990569170785
Epoch 1, Batch 22,	Train Loss: 0.344663283404182
Epoch 1, Batch 23,	Train Loss: 0.3445911126978257
Epoch 1, Batch 24,	Train Loss: 0.34475048850564394
Epoch 1, Batch 25,	Train Loss: 0.34458410038667564
Epoch 1, Batch 26,	Train Loss: 0.3447735449847053
Epoch 1, Batch 27,	Train Loss: 0.3446827776291791
Epoch 1, Batch 28,	Train Loss: 0.34459156148573933
Epoch 1, Batch 29,	Train Loss: 0.3446934363421272
Epoch 1, Batch 30,	Train Loss: 0.3447078536538517
Epoch 1, Batch 31,	Train Loss: 0.3446693420410156
Epoch 1, Batch 32,	Train Loss: 0.34465983334709616
Epoch 1, Batch 33,	Train Loss: 0.34464255501242247
Epoch 1, Batch 34,	Train Loss: 0.24770977917839498
Epoch 1 Train Loss: 11.621664327733656
Epoch 1 Test Accuracy: 0.37815126050420167
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.34463803908404184
Epoch 2, Batch 2,	Train Loss: 0.34463705736048084
Epoch 2, Batch 3,	Train Loss: 0.34464676239911246
Epoch 2, Batch 4,	Train Loss: 0.34459958356969494
Epoch 2, Batch 5,	Train Loss: 0.3445911687963149

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 46.65it/s]
Epoch 2, Batch 7,	Train Loss: 0.34463826347799864
Epoch 2, Batch 8,	Train Loss: 0.34461091546451345
Epoch 2, Batch 9,	Train Loss: 0.34458359550027284
Epoch 2, Batch 10,	Train Loss: 0.3445998921113856
Epoch 2, Batch 11,	Train Loss: 0.34465697232414694
Epoch 2, Batch 12,	Train Loss: 0.34450197219848633
Epoch 2, Batch 13,	Train Loss: 0.34471969043507295
Epoch 2, Batch 14,	Train Loss: 0.3445376508376178
Epoch 2, Batch 15,	Train Loss: 0.3445994152742274
Epoch 2, Batch 16,	Train Loss: 0.34462881088256836
Epoch 2, Batch 17,	Train Loss: 0.3446513905244715
Epoch 2, Batch 18,	Train Loss: 0.344666228574865
Epoch 2, Batch 19,	Train Loss: 0.34467102499569163
Epoch 2, Batch 20,	Train Loss: 0.34463052188648896
Epoch 2, Batch 21,	Train Loss: 0.344698709600112
Epoch 2, Batch 22,	Train Loss: 0.34473475287942323
Epoch 2, Batch 23,	Train Loss: 0.3446072129642262
Epoch 2, Batch 24,	Train Loss: 0.3447388761183795
Epoch 2, Batch 25,	Train Loss: 0.3446364683263442
Epoch 2, Batch 26,	Train Loss: 0.34456567203297334
Epoch 2, Batch 27,	Train Loss: 0.3445393337922938
