
Loading audio files:   0%|          | 0/1079 [00:00<?, ?it/s]
Initializing the music classifier...



Loading audio files:  83%|████████▎ | 899/1079 [00:30<00:00, 212.14it/s]
Loading audio files: 100%|██████████| 1079/1079 [00:31<00:00, 34.21it/s]











Extracting features:  94%|█████████▎| 1009/1079 [00:22<00:01, 47.63it/s]
Extracting features: 100%|██████████| 1079/1079 [00:24<00:00, 44.42it/s]

Loading audio files: 100%|██████████| 119/119 [00:30<00:00,  3.85it/s]
Extracting features...

Extracting features: 100%|██████████| 119/119 [00:02<00:00, 47.09it/s]
Normalizing features...
Creating data loaders...
Starting epoch number 0
Epoch 1, Batch 1,	Train Loss: 0.3446626943700454
Epoch 1, Batch 2,	Train Loss: 0.34468841552734375
Epoch 1, Batch 3,	Train Loss: 0.3446367207695456
Epoch 1, Batch 4,	Train Loss: 0.34470347797169404
Epoch 1, Batch 5,	Train Loss: 0.3446187412037569
Epoch 1, Batch 6,	Train Loss: 0.3446090922636144
Epoch 1, Batch 7,	Train Loss: 0.34472238316255455
Epoch 1, Batch 8,	Train Loss: 0.3445996396681842
Epoch 1, Batch 9,	Train Loss: 0.3447415127473719
Epoch 1, Batch 10,	Train Loss: 0.34463711345897
Epoch 1, Batch 11,	Train Loss: 0.3448161798364976
Epoch 1, Batch 12,	Train Loss: 0.34467772876515107
Epoch 1, Batch 13,	Train Loss: 0.3446344207314884
Epoch 1, Batch 14,	Train Loss: 0.3446778970606187
Epoch 1, Batch 15,	Train Loss: 0.34463150361004996
Epoch 1, Batch 16,	Train Loss: 0.3446988778955796
Epoch 1, Batch 17,	Train Loss: 0.3446643212262322
Epoch 1, Batch 18,	Train Loss: 0.3446767189923455
Epoch 1, Batch 19,	Train Loss: 0.3446635358473834
Epoch 1, Batch 20,	Train Loss: 0.3446611236123478
Epoch 1, Batch 21,	Train Loss: 0.34466272241928997
Epoch 1, Batch 22,	Train Loss: 0.3446711091434254
Epoch 1, Batch 23,	Train Loss: 0.34464221842148723
Epoch 1, Batch 24,	Train Loss: 0.34465540156644936
Epoch 1, Batch 25,	Train Loss: 0.3446494551265941
Epoch 1, Batch 26,	Train Loss: 0.3446772238787483
Epoch 1, Batch 27,	Train Loss: 0.34462998895084157
Epoch 1, Batch 28,	Train Loss: 0.34465955285465016
Epoch 1, Batch 29,	Train Loss: 0.34467293234432445
Epoch 1, Batch 30,	Train Loss: 0.3446630590102252
Epoch 1, Batch 31,	Train Loss: 0.34464171353508444
Epoch 1, Batch 32,	Train Loss: 0.3446321206934312
Epoch 1, Batch 33,	Train Loss: 0.3446350378148696
Epoch 1, Batch 34,	Train Loss: 0.2477402126087862
Epoch 1 Train Loss: 11.621654847088982
Epoch 1 Test Accuracy: 0.36134453781512604
Starting epoch number 1
Epoch 2, Batch 1,	Train Loss: 0.34464320014504823
Epoch 2, Batch 2,	Train Loss: 0.34468984603881836
Epoch 2, Batch 3,	Train Loss: 0.3446344207314884
Epoch 2, Batch 4,	Train Loss: 0.34462785720825195
Epoch 2, Batch 5,	Train Loss: 0.34464457455803366
Epoch 2, Batch 6,	Train Loss: 0.34463369145112877
Epoch 2, Batch 7,	Train Loss: 0.3446950070998248
Epoch 2, Batch 8,	Train Loss: 0.34461085936602426
Epoch 2, Batch 9,	Train Loss: 0.344578322242288
Epoch 2, Batch 10,	Train Loss: 0.34458426868214326
